City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Oparino,RU,59.8518,48.2783,34.59,97,81,3.87,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,74.82,75,17,1.7,light rain
2,Fairbanks,US,64.8378,-147.7164,67.48,33,75,16.11,broken clouds
3,La Primavera,CO,5.4906,-70.4092,76.66,90,84,3.76,broken clouds
4,Lebu,CL,-37.6167,-73.65,47.68,82,37,16.51,scattered clouds
5,Thompson,CA,55.7435,-97.8558,60.96,36,40,10.36,scattered clouds
6,Hobart,AU,-42.8794,147.3294,50.25,93,40,8.05,scattered clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,80,75,9.22,broken clouds
8,Zhangye,CN,38.9342,100.4517,68.5,31,88,2.48,overcast clouds
9,Summerside,CA,46.3959,-63.7876,59.13,36,77,16.11,broken clouds
10,Mwaro,BI,-3.5,29.6667,54.48,88,100,2.15,overcast clouds
11,Anloga,GH,5.7947,0.8973,80.91,77,40,8.79,scattered clouds
12,Poum,NC,-20.2333,164.0167,77.22,71,41,6.49,scattered clouds
13,Cape Town,ZA,-33.9258,18.4232,61.21,97,100,5.75,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,40.66,81,40,35.68,scattered clouds
15,Pacific Grove,US,36.6177,-121.9166,75.31,81,20,14.0,few clouds
16,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,20,3.44,few clouds
17,Yellowknife,CA,62.456,-114.3525,57.72,30,20,6.91,few clouds
18,Broken Hill,AU,-31.95,141.4333,59.43,74,91,4.0,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,45.48,75,26,2.66,scattered clouds
20,Hilo,US,19.7297,-155.09,88.29,69,0,12.66,clear sky
21,Barrow,US,71.2906,-156.7887,33.82,86,0,16.11,clear sky
22,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.76,79,7,3.13,clear sky
23,Nogliki,RU,51.8333,143.1667,53.6,64,18,12.35,few clouds
24,Castro,BR,-24.7911,-50.0119,55.09,77,0,3.76,clear sky
25,Pundaguitan,PH,6.3711,126.1689,79.52,78,100,3.13,overcast clouds
26,Khatanga,RU,71.9667,102.5,30.22,79,52,6.22,broken clouds
27,Evensk,RU,61.95,159.2333,44.94,76,100,2.51,overcast clouds
28,Lao Cai,VN,22.4833,103.95,79.61,87,72,0.47,broken clouds
29,Pevek,RU,69.7008,170.3133,31.5,93,58,9.15,broken clouds
30,Busselton,AU,-33.65,115.3333,54.45,84,0,5.53,clear sky
31,Cerritos,US,33.8583,-118.0648,89.64,69,20,12.66,few clouds
32,Norman Wells,CA,65.282,-126.8329,55.44,62,75,5.75,broken clouds
33,Vaini,TO,-21.2,-175.2,82.56,74,40,8.05,scattered clouds
34,Albany,US,42.6001,-73.9662,72.18,54,99,5.23,overcast clouds
35,Atambua,ID,-9.1061,124.8925,78.17,74,100,4.18,overcast clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,50.95,58,20,4.0,few clouds
37,Svetlyy,RU,54.675,20.1347,47.97,91,31,6.24,scattered clouds
38,Clyde River,CA,70.4692,-68.5914,19.63,86,100,20.71,light snow
